DT COMPRA;DESPESA;RECEITA DESPESA;FORMA PAGTO;TIPO;CATEGORIA;ITEM;VLR TOTAL;QTD PARCELAS;NUM PARCELA;STATUS;DESCRICAO;
20/07/2010;Jornal O Estado de São Paulo;Despesa;Débito Agendado;Gasto;Assinaturas;Jornal;473,40;6;1;Pago;Assinatura Jornal Estado de São Paulo;
20/07/2010;Jornal O Estado de São Paulo;Despesa;Débito Agendado;Gasto;Assinaturas;Jornal;473,40;6;2;Pago;Assinatura Jornal Estado de São Paulo;
20/07/2010;Jornal O Estado de São Paulo;Despesa;Débito Agendado;Gasto;Assinaturas;Jornal;473,40;6;3;Pago;Assinatura Jornal Estado de São Paulo;
20/07/2010;Jornal O Estado de São Paulo;Despesa;Débito Agendado;Gasto;Assinaturas;Jornal;473,40;6;4;Pago;Assinatura Jornal Estado de São Paulo;
20/07/2010;Jornal O Estado de São Paulo;Despesa;Débito Agendado;Gasto;Assinaturas;Jornal;473,40;6;5;Pago;Assinatura Jornal Estado de São Paulo;
20/07/2010;Jornal O Estado de São Paulo;Despesa;Débito Agendado;Gasto;Assinaturas;Jornal;473,40;6;6;Pago;Assinatura Jornal Estado de São Paulo;
18/03/2013;Editora Abril;Despesa;Crédito;Gasto;Assinaturas;Revistas;261,60;12;1;Fechado;Assinatura Revista Runners World;
18/03/2013;Editora Abril;Despesa;Crédito;Gasto;Assinaturas;Revistas;261,60;12;2;Fechado;Assinatura Revista Runners World;
18/03/2013;Editora Abril;Despesa;Crédito;Gasto;Assinaturas;Revistas;261,60;12;3;Fechado;Assinatura Revista Runners World;
18/03/2013;Editora Abril;Despesa;Crédito;Gasto;Assinaturas;Revistas;261,60;12;4;Fechado;Assinatura Revista Runners World;
18/03/2013;Editora Abril;Despesa;Crédito;Gasto;Assinaturas;Revistas;261,60;12;5;Fechado;Assinatura Revista Runners World;
18/03/2013;Editora Abril;Despesa;Crédito;Gasto;Assinaturas;Revistas;261,60;12;6;Fechado;Assinatura Revista Runners World;
18/03/2013;Editora Abril;Despesa;Crédito;Gasto;Assinaturas;Revistas;261,60;12;7;Fechado;Assinatura Revista Runners World;
18/03/2013;Editora Abril;Despesa;Crédito;Gasto;Assinaturas;Revistas;261,60;12;8;Fechado;Assinatura Revista Runners World;
18/03/2013;Editora Abril;Despesa;Crédito;Gasto;Assinaturas;Revistas;261,60;12;9;Fechado;Assinatura Revista Runners World;
18/03/2013;Editora Abril;Despesa;Crédito;Gasto;Assinaturas;Revistas;261,60;12;10;Fechado;Assinatura Revista Runners World;
18/03/2013;Editora Abril;Despesa;Crédito;Gasto;Assinaturas;Revistas;261,60;12;11;Fechado;Assinatura Revista Runners World;
18/03/2013;Editora Abril;Despesa;Crédito;Gasto;Assinaturas;Revistas;261,60;12;12;Fechado;Assinatura Revista Runners World;
10/04/2013;Editora Saraiva;Despesa;Crédito;Gasto;Eletrônicos;Celular;1298,00;10;1;Fechado;Celular Samsung 3 Mini + Capa;
10/04/2013;Editora Saraiva;Despesa;Crédito;Gasto;Eletrônicos;Celular;1298,00;10;2;Fechado;Celular Samsung 3 Mini + Capa;
10/04/2013;Editora Saraiva;Despesa;Crédito;Gasto;Eletrônicos;Celular;1298,00;10;3;Fechado;Celular Samsung 3 Mini + Capa;
10/04/2013;Editora Saraiva;Despesa;Crédito;Gasto;Eletrônicos;Celular;1298,00;10;4;Fechado;Celular Samsung 3 Mini + Capa;
10/04/2013;Editora Saraiva;Despesa;Crédito;Gasto;Eletrônicos;Celular;1298,00;10;5;Fechado;Celular Samsung 3 Mini + Capa;
10/04/2013;Editora Saraiva;Despesa;Crédito;Gasto;Eletrônicos;Celular;1298,00;10;7;Fechado;Celular Samsung 3 Mini + Capa;
10/04/2013;Editora Saraiva;Despesa;Crédito;Gasto;Eletrônicos;Celular;1298,00;10;8;Fechado;Celular Samsung 3 Mini + Capa;
10/04/2013;Editora Saraiva;Despesa;Crédito;Gasto;Eletrônicos;Celular;1298,00;10;9;Fechado;Celular Samsung 3 Mini + Capa;
10/04/2013;Editora Saraiva;Despesa;Crédito;Gasto;Eletrônicos;Celular;1298,00;10;10;Fechado;Celular Samsung 3 Mini + Capa;
09/05/2013;Englishtown;Despesa;Crédito;Gasto;Educação;Curso Online;2148,00;12;1;Fechado;Curso de Inglês Online;
09/05/2013;Englishtown;Despesa;Crédito;Gasto;Educação;Curso Online;2148,00;12;2;Fechado;Curso de Inglês Online;
09/05/2013;Englishtown;Despesa;Crédito;Gasto;Educação;Curso Online;2148,00;12;3;Fechado;Curso de Inglês Online;
09/05/2013;Englishtown;Despesa;Crédito;Gasto;Educação;Curso Online;2148,00;12;4;Fechado;Curso de Inglês Online;
09/05/2013;Englishtown;Despesa;Crédito;Gasto;Educação;Curso Online;2148,00;12;5;Fechado;Curso de Inglês Online;
09/05/2013;Englishtown;Despesa;Crédito;Gasto;Educação;Curso Online;2148,00;12;6;Fechado;Curso de Inglês Online;
